idx,file_name,dt_s,peak_rss_kb,variant
172,2004.02.17.05.12.39,0.005647,0,float32
173,2004.02.17.05.52.39,0.005770,0,float32
174,2004.02.17.06.32.39,0.005662,0,float32
175,2004.02.17.07.12.39,0.006353,0,float32
176,2004.02.17.07.52.39,0.005768,0,float32
177,2004.02.17.08.32.39,0.005643,0,float32
178,2004.02.17.09.12.39,0.005644,0,float32
179,2004.02.17.09.52.39,0.006028,0,float32
180,2004.02.17.10.32.39,0.005528,0,float32
181,2004.02.17.11.12.39,0.006020,0,float32
182,2004.02.17.11.52.39,0.005867,0,float32
183,2004.02.17.12.32.39,0.005832,0,float32
184,2004.02.17.13.12.39,0.005591,0,float32
185,2004.02.17.13.52.39,0.005588,0,float32
186,2004.02.17.14.32.39,0.005803,0,float32
187,2004.02.17.15.12.39,0.005522,0,float32
188,2004.02.17.15.52.39,0.005567,0,float32
189,2004.02.17.16.32.39,0.005638,0,float32
190,2004.02.17.17.12.39,0.005552,0,float32
191,2004.02.17.17.52.39,0.005731,0,float32
192,2004.02.17.18.32.39,0.005527,0,float32
193,2004.02.17.19.12.39,0.005584,0,float32
194,2004.02.17.19.52.39,0.005602,0,float32
195,2004.02.17.20.32.39,0.006409,0,float32
196,2004.02.17.21.12.39,0.006287,0,float32
197,2004.02.17.21.52.39,0.006829,0,float32
198,2004.02.17.22.32.39,0.005765,0,float32
199,2004.02.17.23.12.39,0.005748,0,float32
200,2004.02.17.23.52.39,0.005804,0,float32
201,2004.02.18.00.32.39,0.006326,0,float32
202,2004.02.18.01.12.39,0.005530,0,float32
203,2004.02.18.01.52.39,0.005789,0,float32
204,2004.02.18.02.32.39,0.005982,0,float32
205,2004.02.18.03.12.39,0.005543,0,float32
206,2004.02.18.03.52.39,0.006166,0,float32
207,2004.02.18.04.32.39,0.005768,0,float32
208,2004.02.18.05.12.39,0.008938,0,float32
209,2004.02.18.05.52.39,0.006243,0,float32
210,2004.02.18.06.32.39,0.005754,0,float32
211,2004.02.18.07.12.39,0.006103,0,float32
212,2004.02.18.07.52.39,0.005697,0,float32
213,2004.02.18.08.32.39,0.005905,0,float32
214,2004.02.18.09.12.39,0.006234,0,float32
215,2004.02.18.09.52.39,0.006103,0,float32
216,2004.02.18.10.32.39,0.005988,0,float32
217,2004.02.18.11.12.39,0.005812,0,float32
218,2004.02.18.11.52.39,0.006169,0,float32
219,2004.02.18.12.32.39,0.005763,0,float32
220,2004.02.18.13.12.39,0.006222,0,float32
221,2004.02.18.13.52.39,0.005642,0,float32
222,2004.02.18.14.32.39,0.005630,0,float32
223,2004.02.18.15.12.39,0.006061,0,float32
224,2004.02.18.15.52.39,0.005555,0,float32
225,2004.02.18.16.32.39,0.005656,0,float32
226,2004.02.18.17.12.39,0.005585,0,float32
227,2004.02.18.17.52.39,0.005721,0,float32
228,2004.02.18.18.32.39,0.005434,0,float32
229,2004.02.18.19.12.39,0.005615,0,float32
230,2004.02.18.19.52.39,0.005497,0,float32
231,2004.02.18.20.32.39,0.005576,0,float32
232,2004.02.18.21.12.39,0.006357,0,float32
233,2004.02.18.21.52.39,0.005695,0,float32
234,2004.02.18.22.32.39,0.005433,0,float32
235,2004.02.18.23.12.39,0.005565,0,float32
236,2004.02.18.23.52.39,0.005470,0,float32
237,2004.02.19.00.32.39,0.005743,0,float32
238,2004.02.19.01.12.39,0.005635,0,float32
239,2004.02.19.01.52.39,0.005663,0,float32
240,2004.02.19.02.32.39,0.005625,0,float32
241,2004.02.19.03.12.39,0.005627,0,float32
242,2004.02.19.03.52.39,0.005753,0,float32
243,2004.02.19.04.32.39,0.005383,0,float32
244,2004.02.19.05.12.39,0.005716,0,float32
245,2004.02.19.05.52.39,0.005971,0,float32
